state,state_display,date,date_number,year,month_number,month,month_short,year_month,division,division_name,inflation_yoy,inflation_mom,pressure_level,average_food_inflation_all_years
Johor,Johor,2011-01-01,201101,2011,1,January,Jan,2011-01,01,Food and non-alcoholic beverages,3.6,1.3,Moderate pressure,3.423
Johor,Johor,2011-02-01,201102,2011,2,February,Feb,2011-02,01,Food and non-alcoholic beverages,5.3,1.6,High pressure,3.423
Johor,Johor,2011-03-01,201103,2011,3,March,Mar,2011-03,01,Food and non-alcoholic beverages,4.7,-0.4,Moderate pressure,3.423
Johor,Johor,2011-04-01,201104,2011,4,April,Apr,2011-04,01,Food and non-alcoholic beverages,4.7,0.1,Moderate pressure,3.423
Johor,Johor,2011-05-01,201105,2011,5,May,May,2011-05,01,Food and non-alcoholic beverages,4.5,0.1,Moderate pressure,3.423
Johor,Johor,2011-06-01,201106,2011,6,June,Jun,2011-06,01,Food and non-alcoholic beverages,5.4,1.5,High pressure,3.423
Johor,Johor,2011-07-01,201107,2011,7,July,Jul,2011-07,01,Food and non-alcoholic beverages,5.5,0.5,High pressure,3.423
Johor,Johor,2011-08-01,201108,2011,8,August,Aug,2011-08,01,Food and non-alcoholic beverages,5.0,-0.3,High pressure,3.423
Johor,Johor,2011-09-01,201109,2011,9,September,Sep,2011-09,01,Food and non-alcoholic beverages,5.9,0.7,High pressure,3.423
Johor,Johor,2011-10-01,201110,2011,10,October,Oct,2011-10,01,Food and non-alcoholic beverages,6.9,0.9,High pressure,3.423
Johor,Johor,2011-11-01,201111,2011,11,November,Nov,2011-11,01,Food and non-alcoholic beverages,5.8,-0.4,High pressure,3.423
Johor,Johor,2011-12-01,201112,2011,12,December,Dec,2011-12,01,Food and non-alcoholic beverages,6.3,0.6,High pressure,3.423
Johor,Johor,2012-01-01,201201,2012,1,January,Jan,2012-01,01,Food and non-alcoholic beverages,6.8,1.8,High pressure,3.423
Johor,Johor,2012-02-01,201202,2012,2,February,Feb,2012-02,01,Food and non-alcoholic beverages,3.3,-1.8,Moderate pressure,3.423
Johor,Johor,2012-03-01,201203,2012,3,March,Mar,2012-03,01,Food and non-alcoholic beverages,3.4,-0.3,Moderate pressure,3.423
Johor,Johor,2012-04-01,201204,2012,4,April,Apr,2012-04,01,Food and non-alcoholic beverages,3.0,-0.3,Moderate pressure,3.423
Johor,Johor,2012-05-01,201205,2012,5,May,May,2012-05,01,Food and non-alcoholic beverages,3.8,0.9,Moderate pressure,3.423
Johor,Johor,2012-06-01,201206,2012,6,June,Jun,2012-06,01,Food and non-alcoholic beverages,2.8,0.6,Moderate pressure,3.423
Johor,Johor,2012-07-01,201207,2012,7,July,Jul,2012-07,01,Food and non-alcoholic beverages,2.6,0.3,Moderate pressure,3.423
Johor,Johor,2012-08-01,201208,2012,8,August,Aug,2012-08,01,Food and non-alcoholic beverages,3.2,0.3,Moderate pressure,3.423
Johor,Johor,2012-09-01,201209,2012,9,September,Sep,2012-09,01,Food and non-alcoholic beverages,2.7,0.2,Moderate pressure,3.423
Johor,Johor,2012-10-01,201210,2012,10,October,Oct,2012-10,01,Food and non-alcoholic beverages,1.9,0.1,Low pressure,3.423
Johor,Johor,2012-11-01,201211,2012,11,November,Nov,2012-11,01,Food and non-alcoholic beverages,2.3,0.1,Moderate pressure,3.423
Johor,Johor,2012-12-01,201212,2012,12,December,Dec,2012-12,01,Food and non-alcoholic beverages,2.2,0.5,Moderate pressure,3.423
Johor,Johor,2013-01-01,201301,2013,1,January,Jan,2013-01,01,Food and non-alcoholic beverages,2.0,1.5,Moderate pressure,3.423
Johor,Johor,2013-02-01,201302,2013,2,February,Feb,2013-02,01,Food and non-alcoholic beverages,4.4,0.4,Moderate pressure,3.423
Johor,Johor,2013-03-01,201303,2013,3,March,Mar,2013-03,01,Food and non-alcoholic beverages,4.2,-0.4,Moderate pressure,3.423
Johor,Johor,2013-04-01,201304,2013,4,April,Apr,2013-04,01,Food and non-alcoholic beverages,4.2,-0.3,Moderate pressure,3.423
Johor,Johor,2013-05-01,201305,2013,5,May,May,2013-05,01,Food and non-alcoholic beverages,3.9,0.6,Moderate pressure,3.423
Johor,Johor,2013-06-01,201306,2013,6,June,Jun,2013-06,01,Food and non-alcoholic beverages,3.7,0.4,Moderate pressure,3.423
Johor,Johor,2013-07-01,201307,2013,7,July,Jul,2013-07,01,Food and non-alcoholic beverages,4.0,0.6,Moderate pressure,3.423
Johor,Johor,2013-08-01,201308,2013,8,August,Aug,2013-08,01,Food and non-alcoholic beverages,4.0,0.3,Moderate pressure,3.423
Johor,Johor,2013-09-01,201309,2013,9,September,Sep,2013-09,01,Food and non-alcoholic beverages,4.0,0.2,Moderate pressure,3.423
Johor,Johor,2013-10-01,201310,2013,10,October,Oct,2013-10,01,Food and non-alcoholic beverages,4.0,0.1,Moderate pressure,3.423
Johor,Johor,2013-11-01,201311,2013,11,November,Nov,2013-11,01,Food and non-alcoholic beverages,4.1,0.2,Moderate pressure,3.423
Johor,Johor,2013-12-01,201312,2013,12,December,Dec,2013-12,01,Food and non-alcoholic beverages,5.1,1.4,High pressure,3.423
Johor,Johor,2014-01-01,201401,2014,1,January,Jan,2014-01,01,Food and non-alcoholic beverages,3.9,0.4,Moderate pressure,3.423
Johor,Johor,2014-02-01,201402,2014,2,February,Feb,2014-02,01,Food and non-alcoholic beverages,3.4,-0.1,Moderate pressure,3.423
Johor,Johor,2014-03-01,201403,2014,3,March,Mar,2014-03,01,Food and non-alcoholic beverages,4.0,0.2,Moderate pressure,3.423
Johor,Johor,2014-04-01,201404,2014,4,April,Apr,2014-04,01,Food and non-alcoholic beverages,4.3,0.0,Moderate pressure,3.423
Johor,Johor,2014-05-01,201405,2014,5,May,May,2014-05,01,Food and non-alcoholic beverages,3.4,-0.3,Moderate pressure,3.423
Johor,Johor,2014-06-01,201406,2014,6,June,Jun,2014-06,01,Food and non-alcoholic beverages,3.7,0.7,Moderate pressure,3.423
Johor,Johor,2014-07-01,201407,2014,7,July,Jul,2014-07,01,Food and non-alcoholic beverages,3.6,0.5,Moderate pressure,3.423
Johor,Johor,2014-08-01,201408,2014,8,August,Aug,2014-08,01,Food and non-alcoholic beverages,3.5,0.2,Moderate pressure,3.423
Johor,Johor,2014-09-01,201409,2014,9,September,Sep,2014-09,01,Food and non-alcoholic beverages,3.5,0.2,Moderate pressure,3.423
Johor,Johor,2014-10-01,201410,2014,10,October,Oct,2014-10,01,Food and non-alcoholic beverages,3.0,-0.4,Moderate pressure,3.423
Johor,Johor,2014-11-01,201411,2014,11,November,Nov,2014-11,01,Food and non-alcoholic beverages,3.2,0.4,Moderate pressure,3.423
Johor,Johor,2014-12-01,201412,2014,12,December,Dec,2014-12,01,Food and non-alcoholic beverages,2.2,0.4,Moderate pressure,3.423
Johor,Johor,2015-01-01,201501,2015,1,January,Jan,2015-01,01,Food and non-alcoholic beverages,3.6,1.8,Moderate pressure,3.423
Johor,Johor,2015-02-01,201502,2015,2,February,Feb,2015-02,01,Food and non-alcoholic beverages,3.2,-0.5,Moderate pressure,3.423
Johor,Johor,2015-03-01,201503,2015,3,March,Mar,2015-03,01,Food and non-alcoholic beverages,2.8,-0.3,Moderate pressure,3.423
Johor,Johor,2015-04-01,201504,2015,4,April,Apr,2015-04,01,Food and non-alcoholic beverages,3.8,1.0,Moderate pressure,3.423
Johor,Johor,2015-05-01,201505,2015,5,May,May,2015-05,01,Food and non-alcoholic beverages,4.7,0.7,Moderate pressure,3.423
Johor,Johor,2015-06-01,201506,2015,6,June,Jun,2015-06,01,Food and non-alcoholic beverages,4.8,0.7,Moderate pressure,3.423
Johor,Johor,2015-07-01,201507,2015,7,July,Jul,2015-07,01,Food and non-alcoholic beverages,4.8,0.5,Moderate pressure,3.423
Johor,Johor,2015-08-01,201508,2015,8,August,Aug,2015-08,01,Food and non-alcoholic beverages,5.4,0.8,High pressure,3.423
Johor,Johor,2015-09-01,201509,2015,9,September,Sep,2015-09,01,Food and non-alcoholic beverages,5.7,0.4,High pressure,3.423
Johor,Johor,2015-10-01,201510,2015,10,October,Oct,2015-10,01,Food and non-alcoholic beverages,6.0,-0.2,High pressure,3.423
Johor,Johor,2015-11-01,201511,2015,11,November,Nov,2015-11,01,Food and non-alcoholic beverages,5.2,-0.3,High pressure,3.423
Johor,Johor,2015-12-01,201512,2015,12,December,Dec,2015-12,01,Food and non-alcoholic beverages,5.8,1.1,High pressure,3.423
Johor,Johor,2016-01-01,201601,2016,1,January,Jan,2016-01,01,Food and non-alcoholic beverages,5.0,1.0,High pressure,3.423
Johor,Johor,2016-02-01,201602,2016,2,February,Feb,2016-02,01,Food and non-alcoholic beverages,6.2,0.6,High pressure,3.423
Johor,Johor,2016-03-01,201603,2016,3,March,Mar,2016-03,01,Food and non-alcoholic beverages,6.6,0.2,High pressure,3.423
Johor,Johor,2016-04-01,201604,2016,4,April,Apr,2016-04,01,Food and non-alcoholic beverages,5.5,-0.1,High pressure,3.423
