state,state_display,date,year,month_number,month,date_number,division,division_name,food_consumer_price_index
Johor,Johor,2010-01-01,2010,1,January,201001,01,Food and non-alcoholic beverages,98.9
Johor,Johor,2010-02-01,2010,2,February,201002,01,Food and non-alcoholic beverages,98.9
Johor,Johor,2010-03-01,2010,3,March,201003,01,Food and non-alcoholic beverages,99.0
Johor,Johor,2010-04-01,2010,4,April,201004,01,Food and non-alcoholic beverages,99.1
Johor,Johor,2010-05-01,2010,5,May,201005,01,Food and non-alcoholic beverages,99.4
Johor,Johor,2010-06-01,2010,6,June,201006,01,Food and non-alcoholic beverages,100.1
Johor,Johor,2010-07-01,2010,7,July,201007,01,Food and non-alcoholic beverages,100.5
Johor,Johor,2010-08-01,2010,8,August,201008,01,Food and non-alcoholic beverages,100.7
Johor,Johor,2010-09-01,2010,9,September,201009,01,Food and non-alcoholic beverages,100.5
Johor,Johor,2010-10-01,2010,10,October,201010,01,Food and non-alcoholic beverages,100.5
Johor,Johor,2010-11-01,2010,11,November,201011,01,Food and non-alcoholic beverages,101.1
Johor,Johor,2010-12-01,2010,12,December,201012,01,Food and non-alcoholic beverages,101.2
Johor,Johor,2011-01-01,2011,1,January,201101,01,Food and non-alcoholic beverages,102.5
Johor,Johor,2011-02-01,2011,2,February,201102,01,Food and non-alcoholic beverages,104.1
Johor,Johor,2011-03-01,2011,3,March,201103,01,Food and non-alcoholic beverages,103.7
Johor,Johor,2011-04-01,2011,4,April,201104,01,Food and non-alcoholic beverages,103.8
Johor,Johor,2011-05-01,2011,5,May,201105,01,Food and non-alcoholic beverages,103.9
Johor,Johor,2011-06-01,2011,6,June,201106,01,Food and non-alcoholic beverages,105.5
Johor,Johor,2011-07-01,2011,7,July,201107,01,Food and non-alcoholic beverages,106.0
Johor,Johor,2011-08-01,2011,8,August,201108,01,Food and non-alcoholic beverages,105.7
Johor,Johor,2011-09-01,2011,9,September,201109,01,Food and non-alcoholic beverages,106.4
Johor,Johor,2011-10-01,2011,10,October,201110,01,Food and non-alcoholic beverages,107.4
Johor,Johor,2011-11-01,2011,11,November,201111,01,Food and non-alcoholic beverages,107.0
Johor,Johor,2011-12-01,2011,12,December,201112,01,Food and non-alcoholic beverages,107.6
Johor,Johor,2012-01-01,2012,1,January,201201,01,Food and non-alcoholic beverages,109.5
Johor,Johor,2012-02-01,2012,2,February,201202,01,Food and non-alcoholic beverages,107.5
Johor,Johor,2012-03-01,2012,3,March,201203,01,Food and non-alcoholic beverages,107.2
Johor,Johor,2012-04-01,2012,4,April,201204,01,Food and non-alcoholic beverages,106.9
Johor,Johor,2012-05-01,2012,5,May,201205,01,Food and non-alcoholic beverages,107.9
Johor,Johor,2012-06-01,2012,6,June,201206,01,Food and non-alcoholic beverages,108.5
Johor,Johor,2012-07-01,2012,7,July,201207,01,Food and non-alcoholic beverages,108.8
Johor,Johor,2012-08-01,2012,8,August,201208,01,Food and non-alcoholic beverages,109.1
Johor,Johor,2012-09-01,2012,9,September,201209,01,Food and non-alcoholic beverages,109.3
Johor,Johor,2012-10-01,2012,10,October,201210,01,Food and non-alcoholic beverages,109.4
Johor,Johor,2012-11-01,2012,11,November,201211,01,Food and non-alcoholic beverages,109.5
Johor,Johor,2012-12-01,2012,12,December,201212,01,Food and non-alcoholic beverages,110.0
Johor,Johor,2013-01-01,2013,1,January,201301,01,Food and non-alcoholic beverages,111.7
Johor,Johor,2013-02-01,2013,2,February,201302,01,Food and non-alcoholic beverages,112.2
Johor,Johor,2013-03-01,2013,3,March,201303,01,Food and non-alcoholic beverages,111.7
Johor,Johor,2013-04-01,2013,4,April,201304,01,Food and non-alcoholic beverages,111.4
Johor,Johor,2013-05-01,2013,5,May,201305,01,Food and non-alcoholic beverages,112.1
Johor,Johor,2013-06-01,2013,6,June,201306,01,Food and non-alcoholic beverages,112.5
Johor,Johor,2013-07-01,2013,7,July,201307,01,Food and non-alcoholic beverages,113.2
Johor,Johor,2013-08-01,2013,8,August,201308,01,Food and non-alcoholic beverages,113.5
Johor,Johor,2013-09-01,2013,9,September,201309,01,Food and non-alcoholic beverages,113.7
Johor,Johor,2013-10-01,2013,10,October,201310,01,Food and non-alcoholic beverages,113.8
Johor,Johor,2013-11-01,2013,11,November,201311,01,Food and non-alcoholic beverages,114.0
Johor,Johor,2013-12-01,2013,12,December,201312,01,Food and non-alcoholic beverages,115.6
Johor,Johor,2014-01-01,2014,1,January,201401,01,Food and non-alcoholic beverages,116.1
Johor,Johor,2014-02-01,2014,2,February,201402,01,Food and non-alcoholic beverages,116.0
Johor,Johor,2014-03-01,2014,3,March,201403,01,Food and non-alcoholic beverages,116.2
Johor,Johor,2014-04-01,2014,4,April,201404,01,Food and non-alcoholic beverages,116.2
Johor,Johor,2014-05-01,2014,5,May,201405,01,Food and non-alcoholic beverages,115.9
Johor,Johor,2014-06-01,2014,6,June,201406,01,Food and non-alcoholic beverages,116.7
Johor,Johor,2014-07-01,2014,7,July,201407,01,Food and non-alcoholic beverages,117.3
Johor,Johor,2014-08-01,2014,8,August,201408,01,Food and non-alcoholic beverages,117.5
Johor,Johor,2014-09-01,2014,9,September,201409,01,Food and non-alcoholic beverages,117.7
Johor,Johor,2014-10-01,2014,10,October,201410,01,Food and non-alcoholic beverages,117.2
Johor,Johor,2014-11-01,2014,11,November,201411,01,Food and non-alcoholic beverages,117.7
Johor,Johor,2014-12-01,2014,12,December,201412,01,Food and non-alcoholic beverages,118.2
Johor,Johor,2015-01-01,2015,1,January,201501,01,Food and non-alcoholic beverages,120.3
Johor,Johor,2015-02-01,2015,2,February,201502,01,Food and non-alcoholic beverages,119.7
Johor,Johor,2015-03-01,2015,3,March,201503,01,Food and non-alcoholic beverages,119.4
Johor,Johor,2015-04-01,2015,4,April,201504,01,Food and non-alcoholic beverages,120.6
Johor,Johor,2015-05-01,2015,5,May,201505,01,Food and non-alcoholic beverages,121.4
Johor,Johor,2015-06-01,2015,6,June,201506,01,Food and non-alcoholic beverages,122.3
Johor,Johor,2015-07-01,2015,7,July,201507,01,Food and non-alcoholic beverages,122.9
Johor,Johor,2015-08-01,2015,8,August,201508,01,Food and non-alcoholic beverages,123.9
Johor,Johor,2015-09-01,2015,9,September,201509,01,Food and non-alcoholic beverages,124.4
Johor,Johor,2015-10-01,2015,10,October,201510,01,Food and non-alcoholic beverages,124.2
Johor,Johor,2015-11-01,2015,11,November,201511,01,Food and non-alcoholic beverages,123.8
Johor,Johor,2015-12-01,2015,12,December,201512,01,Food and non-alcoholic beverages,125.1
Johor,Johor,2016-01-01,2016,1,January,201601,01,Food and non-alcoholic beverages,126.3
Johor,Johor,2016-02-01,2016,2,February,201602,01,Food and non-alcoholic beverages,127.1
Johor,Johor,2016-03-01,2016,3,March,201603,01,Food and non-alcoholic beverages,127.3
Johor,Johor,2016-04-01,2016,4,April,201604,01,Food and non-alcoholic beverages,127.2
Johor,Johor,2016-05-01,2016,5,May,201605,01,Food and non-alcoholic beverages,127.5
Johor,Johor,2016-06-01,2016,6,June,201606,01,Food and non-alcoholic beverages,128.5
Johor,Johor,2016-07-01,2016,7,July,201607,01,Food and non-alcoholic beverages,129.0
Johor,Johor,2016-08-01,2016,8,August,201608,01,Food and non-alcoholic beverages,129.6
Johor,Johor,2016-09-01,2016,9,September,201609,01,Food and non-alcoholic beverages,129.1
Johor,Johor,2016-10-01,2016,10,October,201610,01,Food and non-alcoholic beverages,128.3
Johor,Johor,2016-11-01,2016,11,November,201611,01,Food and non-alcoholic beverages,129.3
Johor,Johor,2016-12-01,2016,12,December,201612,01,Food and non-alcoholic beverages,130.5
Johor,Johor,2017-01-01,2017,1,January,201701,01,Food and non-alcoholic beverages,132.1
Johor,Johor,2017-02-01,2017,2,February,201702,01,Food and non-alcoholic beverages,133.2
Johor,Johor,2017-03-01,2017,3,March,201703,01,Food and non-alcoholic beverages,132.4
Johor,Johor,2017-04-01,2017,4,April,201704,01,Food and non-alcoholic beverages,132.8
Johor,Johor,2017-05-01,2017,5,May,201705,01,Food and non-alcoholic beverages,133.3
Johor,Johor,2017-06-01,2017,6,June,201706,01,Food and non-alcoholic beverages,134.5
Johor,Johor,2017-07-01,2017,7,July,201707,01,Food and non-alcoholic beverages,134.9
Johor,Johor,2017-08-01,2017,8,August,201708,01,Food and non-alcoholic beverages,135.5
Johor,Johor,2017-09-01,2017,9,September,201709,01,Food and non-alcoholic beverages,135.3
Johor,Johor,2017-10-01,2017,10,October,201710,01,Food and non-alcoholic beverages,134.9
Johor,Johor,2017-11-01,2017,11,November,201711,01,Food and non-alcoholic beverages,135.4
Johor,Johor,2017-12-01,2017,12,December,201712,01,Food and non-alcoholic beverages,136.4
Johor,Johor,2018-01-01,2018,1,January,201801,01,Food and non-alcoholic beverages,137.4
Johor,Johor,2018-02-01,2018,2,February,201802,01,Food and non-alcoholic beverages,138.0
Johor,Johor,2018-03-01,2018,3,March,201803,01,Food and non-alcoholic beverages,136.9
Johor,Johor,2018-04-01,2018,4,April,201804,01,Food and non-alcoholic beverages,136.2
Johor,Johor,2018-05-01,2018,5,May,201805,01,Food and non-alcoholic beverages,136.4
Johor,Johor,2018-06-01,2018,6,June,201806,01,Food and non-alcoholic beverages,135.3
Johor,Johor,2018-07-01,2018,7,July,201807,01,Food and non-alcoholic beverages,135.8
Johor,Johor,2018-08-01,2018,8,August,201808,01,Food and non-alcoholic beverages,136.0
Johor,Johor,2018-09-01,2018,9,September,201809,01,Food and non-alcoholic beverages,135.8
Johor,Johor,2018-10-01,2018,10,October,201810,01,Food and non-alcoholic beverages,136.2
Johor,Johor,2018-11-01,2018,11,November,201811,01,Food and non-alcoholic beverages,136.7
Johor,Johor,2018-12-01,2018,12,December,201812,01,Food and non-alcoholic beverages,137.0
Johor,Johor,2019-01-01,2019,1,January,201901,01,Food and non-alcoholic beverages,138.9
Johor,Johor,2019-02-01,2019,2,February,201902,01,Food and non-alcoholic beverages,139.1
Johor,Johor,2019-03-01,2019,3,March,201903,01,Food and non-alcoholic beverages,138.1
Johor,Johor,2019-04-01,2019,4,April,201904,01,Food and non-alcoholic beverages,137.8
Johor,Johor,2019-05-01,2019,5,May,201905,01,Food and non-alcoholic beverages,138.8
Johor,Johor,2019-06-01,2019,6,June,201906,01,Food and non-alcoholic beverages,138.9
Johor,Johor,2019-07-01,2019,7,July,201907,01,Food and non-alcoholic beverages,139.5
Johor,Johor,2019-08-01,2019,8,August,201908,01,Food and non-alcoholic beverages,139.3
Johor,Johor,2019-09-01,2019,9,September,201909,01,Food and non-alcoholic beverages,139.3
Johor,Johor,2019-10-01,2019,10,October,201910,01,Food and non-alcoholic beverages,139.6
Johor,Johor,2019-11-01,2019,11,November,201911,01,Food and non-alcoholic beverages,139.2
Johor,Johor,2019-12-01,2019,12,December,201912,01,Food and non-alcoholic beverages,140.4
Johor,Johor,2020-01-01,2020,1,January,202001,01,Food and non-alcoholic beverages,140.7
Johor,Johor,2020-02-01,2020,2,February,202002,01,Food and non-alcoholic beverages,140.9
Johor,Johor,2020-03-01,2020,3,March,202003,01,Food and non-alcoholic beverages,140.6
Johor,Johor,2020-04-01,2020,4,April,202004,01,Food and non-alcoholic beverages,140.2
Johor,Johor,2020-05-01,2020,5,May,202005,01,Food and non-alcoholic beverages,140.6
Johor,Johor,2020-06-01,2020,6,June,202006,01,Food and non-alcoholic beverages,141.7
Johor,Johor,2020-07-01,2020,7,July,202007,01,Food and non-alcoholic beverages,141.7
Johor,Johor,2020-08-01,2020,8,August,202008,01,Food and non-alcoholic beverages,141.6
Johor,Johor,2020-09-01,2020,9,September,202009,01,Food and non-alcoholic beverages,141.4
Johor,Johor,2020-10-01,2020,10,October,202010,01,Food and non-alcoholic beverages,141.5
Johor,Johor,2020-11-01,2020,11,November,202011,01,Food and non-alcoholic beverages,141.6
Johor,Johor,2020-12-01,2020,12,December,202012,01,Food and non-alcoholic beverages,141.8
Johor,Johor,2021-01-01,2021,1,January,202101,01,Food and non-alcoholic beverages,142.3
Johor,Johor,2021-02-01,2021,2,February,202102,01,Food and non-alcoholic beverages,142.6
Johor,Johor,2021-03-01,2021,3,March,202103,01,Food and non-alcoholic beverages,142.6
Johor,Johor,2021-04-01,2021,4,April,202104,01,Food and non-alcoholic beverages,143.2
Johor,Johor,2021-05-01,2021,5,May,202105,01,Food and non-alcoholic beverages,142.8
Johor,Johor,2021-06-01,2021,6,June,202106,01,Food and non-alcoholic beverages,143.3
