state,map_state,date,year,month_number,month,division,division_name,inflation_yoy,inflation_mom
Johor,Johor,2011-01-01,2011,1,January,01,Food and non-alcoholic beverages,3.6,1.3
Kedah,Kedah,2011-01-01,2011,1,January,01,Food and non-alcoholic beverages,2.5,1.2
Kelantan,Kelantan,2011-01-01,2011,1,January,01,Food and non-alcoholic beverages,4.8,1.6
Melaka,Melaka,2011-01-01,2011,1,January,01,Food and non-alcoholic beverages,3.9,1.5
Negeri Sembilan,Negeri Sembilan,2011-01-01,2011,1,January,01,Food and non-alcoholic beverages,4.3,1.1
Pahang,Pahang,2011-01-01,2011,1,January,01,Food and non-alcoholic beverages,3.4,1.0
Perak,Perak,2011-01-01,2011,1,January,01,Food and non-alcoholic beverages,3.7,1.4
Perlis,Perlis,2011-01-01,2011,1,January,01,Food and non-alcoholic beverages,3.7,1.2
Pulau Pinang,Penang,2011-01-01,2011,1,January,01,Food and non-alcoholic beverages,4.6,1.2
Sabah,Sabah,2011-01-01,2011,1,January,01,Food and non-alcoholic beverages,4.4,1.7
Sarawak,Sarawak,2011-01-01,2011,1,January,01,Food and non-alcoholic beverages,3.1,0.8
Selangor,Selangor,2011-01-01,2011,1,January,01,Food and non-alcoholic beverages,3.3,1.1
Terengganu,Terengganu,2011-01-01,2011,1,January,01,Food and non-alcoholic beverages,4.7,1.5
W.P. Kuala Lumpur,Kuala Lumpur,2011-01-01,2011,1,January,01,Food and non-alcoholic beverages,3.1,1.3
W.P. Labuan,Labuan,2011-01-01,2011,1,January,01,Food and non-alcoholic beverages,2.2,1.7
W.P. Putrajaya,Putrajaya,2011-01-01,2011,1,January,01,Food and non-alcoholic beverages,2.8,1.4
Johor,Johor,2011-02-01,2011,2,February,01,Food and non-alcoholic beverages,5.3,1.6
Kedah,Kedah,2011-02-01,2011,2,February,01,Food and non-alcoholic beverages,3.7,0.7
Kelantan,Kelantan,2011-02-01,2011,2,February,01,Food and non-alcoholic beverages,5.5,0.3
Melaka,Melaka,2011-02-01,2011,2,February,01,Food and non-alcoholic beverages,5.6,1.5
Negeri Sembilan,Negeri Sembilan,2011-02-01,2011,2,February,01,Food and non-alcoholic beverages,5.8,1.1
Pahang,Pahang,2011-02-01,2011,2,February,01,Food and non-alcoholic beverages,4.4,0.8
Perak,Perak,2011-02-01,2011,2,February,01,Food and non-alcoholic beverages,4.5,0.9
Perlis,Perlis,2011-02-01,2011,2,February,01,Food and non-alcoholic beverages,3.5,-0.4
Pulau Pinang,Penang,2011-02-01,2011,2,February,01,Food and non-alcoholic beverages,5.1,0.7
Sabah,Sabah,2011-02-01,2011,2,February,01,Food and non-alcoholic beverages,4.3,0.5
Sarawak,Sarawak,2011-02-01,2011,2,February,01,Food and non-alcoholic beverages,3.4,0.9
Selangor,Selangor,2011-02-01,2011,2,February,01,Food and non-alcoholic beverages,5.3,1.8
Terengganu,Terengganu,2011-02-01,2011,2,February,01,Food and non-alcoholic beverages,5.9,0.5
W.P. Kuala Lumpur,Kuala Lumpur,2011-02-01,2011,2,February,01,Food and non-alcoholic beverages,3.9,0.7
W.P. Labuan,Labuan,2011-02-01,2011,2,February,01,Food and non-alcoholic beverages,2.0,0.2
W.P. Putrajaya,Putrajaya,2011-02-01,2011,2,February,01,Food and non-alcoholic beverages,3.0,0.2
Johor,Johor,2011-03-01,2011,3,March,01,Food and non-alcoholic beverages,4.7,-0.4
Kedah,Kedah,2011-03-01,2011,3,March,01,Food and non-alcoholic beverages,4.1,0.1
Kelantan,Kelantan,2011-03-01,2011,3,March,01,Food and non-alcoholic beverages,5.8,0.4
Melaka,Melaka,2011-03-01,2011,3,March,01,Food and non-alcoholic beverages,5.0,-0.6
Negeri Sembilan,Negeri Sembilan,2011-03-01,2011,3,March,01,Food and non-alcoholic beverages,6.2,0.4
Pahang,Pahang,2011-03-01,2011,3,March,01,Food and non-alcoholic beverages,4.4,0.0
Perak,Perak,2011-03-01,2011,3,March,01,Food and non-alcoholic beverages,4.4,-0.2
Perlis,Perlis,2011-03-01,2011,3,March,01,Food and non-alcoholic beverages,4.4,0.9
Pulau Pinang,Penang,2011-03-01,2011,3,March,01,Food and non-alcoholic beverages,5.5,0.1
Sabah,Sabah,2011-03-01,2011,3,March,01,Food and non-alcoholic beverages,4.5,0.2
Sarawak,Sarawak,2011-03-01,2011,3,March,01,Food and non-alcoholic beverages,3.3,-0.1
Selangor,Selangor,2011-03-01,2011,3,March,01,Food and non-alcoholic beverages,5.3,0.1
Terengganu,Terengganu,2011-03-01,2011,3,March,01,Food and non-alcoholic beverages,5.7,-0.1
W.P. Kuala Lumpur,Kuala Lumpur,2011-03-01,2011,3,March,01,Food and non-alcoholic beverages,3.9,0.0
W.P. Labuan,Labuan,2011-03-01,2011,3,March,01,Food and non-alcoholic beverages,2.4,0.3
W.P. Putrajaya,Putrajaya,2011-03-01,2011,3,March,01,Food and non-alcoholic beverages,3.0,0.0
Johor,Johor,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,4.7,0.1
Kedah,Kedah,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,4.1,0.0
Kelantan,Kelantan,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,6.4,0.8
Melaka,Melaka,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,5.1,0.1
Negeri Sembilan,Negeri Sembilan,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,6.4,0.4
Pahang,Pahang,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,4.9,0.8
Perak,Perak,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,4.6,0.3
Perlis,Perlis,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,5.0,0.2
Pulau Pinang,Penang,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,5.7,0.2
Sabah,Sabah,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,4.9,0.3
