state,state_display,date,year,month_number,month,date_label,division,division_name,inflation_yoy,inflation_mom,rank_highest_to_lowest,pressure_group
Johor,Johor,2011-01-01,2011,1,January,January 2011,01,Food and non-alcoholic beverages,3.6,1.3,9,Other states
Johor,Johor,2011-02-01,2011,2,February,February 2011,01,Food and non-alcoholic beverages,5.3,1.6,5,Other states
Johor,Johor,2011-03-01,2011,3,March,March 2011,01,Food and non-alcoholic beverages,4.7,-0.4,7,Other states
Johor,Johor,2011-04-01,2011,4,April,April 2011,01,Food and non-alcoholic beverages,4.7,0.1,10,Other states
Johor,Johor,2011-05-01,2011,5,May,May 2011,01,Food and non-alcoholic beverages,4.5,0.1,8,Other states
Johor,Johor,2011-06-01,2011,6,June,June 2011,01,Food and non-alcoholic beverages,5.4,1.5,5,Other states
Johor,Johor,2011-07-01,2011,7,July,July 2011,01,Food and non-alcoholic beverages,5.5,0.5,5,Other states
Johor,Johor,2011-08-01,2011,8,August,August 2011,01,Food and non-alcoholic beverages,5.0,-0.3,5,Other states
Johor,Johor,2011-09-01,2011,9,September,September 2011,01,Food and non-alcoholic beverages,5.9,0.7,4,Other states
Johor,Johor,2011-10-01,2011,10,October,October 2011,01,Food and non-alcoholic beverages,6.9,0.9,1,Highest state
Johor,Johor,2011-11-01,2011,11,November,November 2011,01,Food and non-alcoholic beverages,5.8,-0.4,1,Highest state
Johor,Johor,2011-12-01,2011,12,December,December 2011,01,Food and non-alcoholic beverages,6.3,0.6,1,Highest state
Johor,Johor,2012-01-01,2012,1,January,January 2012,01,Food and non-alcoholic beverages,6.8,1.8,1,Highest state
Johor,Johor,2012-02-01,2012,2,February,February 2012,01,Food and non-alcoholic beverages,3.3,-1.8,5,Other states
Johor,Johor,2012-03-01,2012,3,March,March 2012,01,Food and non-alcoholic beverages,3.4,-0.3,4,Other states
Johor,Johor,2012-04-01,2012,4,April,April 2012,01,Food and non-alcoholic beverages,3.0,-0.3,4,Other states
Johor,Johor,2012-05-01,2012,5,May,May 2012,01,Food and non-alcoholic beverages,3.8,0.9,2,Other states
Johor,Johor,2012-06-01,2012,6,June,June 2012,01,Food and non-alcoholic beverages,2.8,0.6,9,Other states
Johor,Johor,2012-07-01,2012,7,July,July 2012,01,Food and non-alcoholic beverages,2.6,0.3,8,Other states
Johor,Johor,2012-08-01,2012,8,August,August 2012,01,Food and non-alcoholic beverages,3.2,0.3,5,Other states
Johor,Johor,2012-09-01,2012,9,September,September 2012,01,Food and non-alcoholic beverages,2.7,0.2,6,Other states
Johor,Johor,2012-10-01,2012,10,October,October 2012,01,Food and non-alcoholic beverages,1.9,0.1,9,Other states
Johor,Johor,2012-11-01,2012,11,November,November 2012,01,Food and non-alcoholic beverages,2.3,0.1,6,Other states
Johor,Johor,2012-12-01,2012,12,December,December 2012,01,Food and non-alcoholic beverages,2.2,0.5,6,Other states
Johor,Johor,2013-01-01,2013,1,January,January 2013,01,Food and non-alcoholic beverages,2.0,1.5,9,Other states
Johor,Johor,2013-02-01,2013,2,February,February 2013,01,Food and non-alcoholic beverages,4.4,0.4,2,Other states
Johor,Johor,2013-03-01,2013,3,March,March 2013,01,Food and non-alcoholic beverages,4.2,-0.4,2,Other states
Johor,Johor,2013-04-01,2013,4,April,April 2013,01,Food and non-alcoholic beverages,4.2,-0.3,5,Other states
Johor,Johor,2013-05-01,2013,5,May,May 2013,01,Food and non-alcoholic beverages,3.9,0.6,6,Other states
Johor,Johor,2013-06-01,2013,6,June,June 2013,01,Food and non-alcoholic beverages,3.7,0.4,4,Other states
Johor,Johor,2013-07-01,2013,7,July,July 2013,01,Food and non-alcoholic beverages,4.0,0.6,7,Other states
Johor,Johor,2013-08-01,2013,8,August,August 2013,01,Food and non-alcoholic beverages,4.0,0.3,4,Other states
Johor,Johor,2013-09-01,2013,9,September,September 2013,01,Food and non-alcoholic beverages,4.0,0.2,7,Other states
Johor,Johor,2013-10-01,2013,10,October,October 2013,01,Food and non-alcoholic beverages,4.0,0.1,5,Other states
Johor,Johor,2013-11-01,2013,11,November,November 2013,01,Food and non-alcoholic beverages,4.1,0.2,6,Other states
Johor,Johor,2013-12-01,2013,12,December,December 2013,01,Food and non-alcoholic beverages,5.1,1.4,4,Other states
Johor,Johor,2014-01-01,2014,1,January,January 2014,01,Food and non-alcoholic beverages,3.9,0.4,8,Other states
