state,state_display,map_state,year,date,crop_type,crop_group,crop_order,planted_area,production,production_thousand_tonnes,total_production_for_crop_year,production_share_percent,production_rank
Kedah,Kedah,Kedah,2017,2017-01-01,all_food_crops,All food crops,0,229074.6,1013541.3,1013.5413000000001,5656438.7,17.918364429548227,1
Johor,Johor,Johor,2017,2017-01-01,all_food_crops,All food crops,0,95216.0,940681.8,940.6818000000001,5656438.7,16.63028364472508,2
Pahang,Pahang,Pahang,2017,2017-01-01,all_food_crops,All food crops,0,70501.6,635911.6000000001,635.9116000000001,5656438.7,11.242260965366778,3
Perak,Perak,Perak,2017,2017-01-01,all_food_crops,All food crops,0,108816.20000000001,595192.4,595.1924,5656438.7,10.522387522735817,4
Kelantan,Kelantan,Kelantan,2017,2017-01-01,all_food_crops,All food crops,0,103449.4,579652.2,579.6522,5656438.7,10.247652820846444,5
Sarawak,Sarawak,Sarawak,2017,2017-01-01,all_food_crops,All food crops,0,174857.3,486066.39999999997,486.0664,5656438.7,8.593152437062562,6
Selangor,Selangor,Selangor,2017,2017-01-01,all_food_crops,All food crops,0,50767.700000000004,332171.10000000003,332.1711,5656438.7,5.872442319581754,7
Sabah,Sabah,Sabah,2017,2017-01-01,all_food_crops,All food crops,0,81288.0,315199.3,315.1993,5656438.7,5.5723984067925985,8
Perlis,Perlis,Perlis,2017,2017-01-01,all_food_crops,All food crops,0,56153.3,263221.3,263.2213,5656438.7,4.653480996797508,9
Pulau Pinang,Penang,Penang,2017,2017-01-01,all_food_crops,All food crops,0,29003.0,175020.0,175.02,5656438.7,3.094173017379292,10
Terengganu,Terengganu,Terengganu,2017,2017-01-01,all_food_crops,All food crops,0,28982.800000000003,153257.80000000002,153.25780000000003,5656438.7,2.7094397752423274,11
Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,2017,2017-01-01,all_food_crops,All food crops,0,11282.599999999999,92125.4,92.1254,5656438.7,1.628682018599441,12
Melaka,Melaka,Melaka,2017,2017-01-01,all_food_crops,All food crops,0,10015.8,73102.1,73.10210000000001,5656438.7,1.2923697025126428,13
W.P. Labuan,Labuan,Labuan,2017,2017-01-01,all_food_crops,All food crops,0,409.8,1296.0,1.296,5656438.7,0.022911942809527838,14
W.P. Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,2017,2017-01-01,all_food_crops,All food crops,0,0.0,0.0,0.0,5656438.7,0.0,15
Kedah,Kedah,Kedah,2018,2018-01-01,all_food_crops,All food crops,0,229544.8,1048183.4,1048.1834000000001,5739083.4,18.26395134804976,1
Johor,Johor,Johor,2018,2018-01-01,all_food_crops,All food crops,0,78469.3,885289.3,885.2893,5739083.4,15.425621798770168,2
Pahang,Pahang,Pahang,2018,2018-01-01,all_food_crops,All food crops,0,61295.3,659058.6,659.0586,5739083.4,11.483690932248866,3
Kelantan,Kelantan,Kelantan,2018,2018-01-01,all_food_crops,All food crops,0,107584.79999999999,657010.4,657.0104,5739083.4,11.448002306431023,4
Perak,Perak,Perak,2018,2018-01-01,all_food_crops,All food crops,0,108474.0,575635.9,575.6359,5739083.4,10.030101670939299,5
Sarawak,Sarawak,Sarawak,2018,2018-01-01,all_food_crops,All food crops,0,191436.9,485796.49999999994,485.7964999999999,5739083.4,8.464705356956477,6
Selangor,Selangor,Selangor,2018,2018-01-01,all_food_crops,All food crops,0,51557.200000000004,341165.0,341.165,5739083.4,5.94459038528696,7
Sabah,Sabah,Sabah,2018,2018-01-01,all_food_crops,All food crops,0,82250.8,325966.4,325.9664,5739083.4,5.679764124006283,8
Perlis,Perlis,Perlis,2018,2018-01-01,all_food_crops,All food crops,0,55834.5,269695.89999999997,269.69589999999994,5739083.4,4.6992852552029465,9
Terengganu,Terengganu,Terengganu,2018,2018-01-01,all_food_crops,All food crops,0,31086.5,163895.4,163.8954,5739083.4,2.8557765862053857,10
Pulau Pinang,Penang,Penang,2018,2018-01-01,all_food_crops,All food crops,0,29017.5,163032.30000000002,163.03230000000002,5739083.4,2.840737599317689,11
Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,2018,2018-01-01,all_food_crops,All food crops,0,10696.6,100406.8,100.4068,5739083.4,1.7495267624094817,12
Melaka,Melaka,Melaka,2018,2018-01-01,all_food_crops,All food crops,0,9628.2,62685.100000000006,62.685100000000006,5739083.4,1.0922493302676173,13
W.P. Labuan,Labuan,Labuan,2018,2018-01-01,all_food_crops,All food crops,0,401.20000000000005,1262.3999999999999,1.2624,5739083.4,0.021996543908039387,14
W.P. Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,2018,2018-01-01,all_food_crops,All food crops,0,0.0,0.0,0.0,5739083.4,0.0,15
Kedah,Kedah,Kedah,2019,2019-01-01,all_food_crops,All food crops,0,228844.1,954158.2,954.1582,5531450.5,17.24969246312518,1
Johor,Johor,Johor,2019,2019-01-01,all_food_crops,All food crops,0,71333.1,870078.9,870.0789,5531450.5,15.729669821686013,2
Kelantan,Kelantan,Kelantan,2019,2019-01-01,all_food_crops,All food crops,0,106136.5,623173.5,623.1735,5531450.5,11.266005182546603,3
Pahang,Pahang,Pahang,2019,2019-01-01,all_food_crops,All food crops,0,56370.0,605461.2,605.4612,5531450.5,10.945794416853227,4
Perak,Perak,Perak,2019,2019-01-01,all_food_crops,All food crops,0,107977.20000000001,574376.0,574.376,5531450.5,10.383822471158334,5
Sarawak,Sarawak,Sarawak,2019,2019-01-01,all_food_crops,All food crops,0,164660.8,497132.0,497.132,5531450.5,8.98737139562218,6
