state,state_display,year,crop_type,crop_type_display,production_tonnes,production_thousand_tonnes,planted_area_hectares,production_share_percent,production_rank,average_food_inflation,average_monthly_change,months_available
Kedah,Kedah,2017,all_food_crops,All food crops,1013541.3,1013.54,229074.6,17.92,1,4.17,0.31,12
Johor,Johor,2017,all_food_crops,All food crops,940681.8,940.68,95216.0,16.63,2,4.61,0.37,12
Pahang,Pahang,2017,all_food_crops,All food crops,635911.6,635.91,70501.6,11.24,3,2.53,0.26,12
Perak,Perak,2017,all_food_crops,All food crops,595192.4,595.19,108816.2,10.52,4,3.25,0.29,12
Kelantan,Kelantan,2017,all_food_crops,All food crops,579652.2,579.65,103449.4,10.25,5,3.4,0.3,12
Sarawak,Sarawak,2017,all_food_crops,All food crops,486066.4,486.07,174857.3,8.59,6,2.52,0.25,12
Selangor,Selangor,2017,all_food_crops,All food crops,332171.1,332.17,50767.7,5.87,7,4.24,0.33,12
Sabah,Sabah,2017,all_food_crops,All food crops,315199.3,315.2,81288.0,5.57,8,3.97,0.29,12
Perlis,Perlis,2017,all_food_crops,All food crops,263221.3,263.22,56153.3,4.65,9,4.76,0.2,12
Pulau Pinang,Penang,2017,all_food_crops,All food crops,175020.0,175.02,29003.0,3.09,10,4.41,0.32,12
Terengganu,Terengganu,2017,all_food_crops,All food crops,153257.8,153.26,28982.8,2.71,11,2.7,0.29,12
Negeri Sembilan,Negeri Sembilan,2017,all_food_crops,All food crops,92125.4,92.13,11282.6,1.63,12,3.59,0.28,12
Melaka,Melaka,2017,all_food_crops,All food crops,73102.1,73.1,10015.8,1.29,13,4.8,0.39,12
W.P. Labuan,Labuan,2017,all_food_crops,All food crops,1296.0,1.3,409.8,0.02,14,2.57,0.25,12
W.P. Kuala Lumpur,Kuala Lumpur,2017,all_food_crops,All food crops,0.0,0.0,0.0,0.0,15,4.53,0.41,12
Johor,Johor,2017,coconut,Coconut,107731.0,107.73,14931.6,20.81,1,4.61,0.37,12
Selangor,Selangor,2017,coconut,Coconut,103435.4,103.44,8816.5,19.98,2,4.24,0.33,12
Perak,Perak,2017,coconut,Coconut,82466.3,82.47,9337.0,15.93,3,3.25,0.29,12
Kelantan,Kelantan,2017,coconut,Coconut,60008.6,60.01,7115.7,11.59,4,3.4,0.3,12
Sabah,Sabah,2017,coconut,Coconut,49335.3,49.34,16726.2,9.53,5,3.97,0.29,12
Pahang,Pahang,2017,coconut,Coconut,35196.6,35.2,4633.2,6.8,6,2.53,0.26,12
Sarawak,Sarawak,2017,coconut,Coconut,30627.8,30.63,12635.1,5.92,7,2.52,0.25,12
Terengganu,Terengganu,2017,coconut,Coconut,17079.8,17.08,4231.0,3.3,8,2.7,0.29,12
Negeri Sembilan,Negeri Sembilan,2017,coconut,Coconut,11932.1,11.93,1476.2,2.31,9,3.59,0.28,12
Melaka,Melaka,2017,coconut,Coconut,10393.5,10.39,1455.9,2.01,10,4.8,0.39,12
Kedah,Kedah,2017,coconut,Coconut,5754.5,5.75,1289.4,1.11,11,4.17,0.31,12
Perlis,Perlis,2017,coconut,Coconut,2749.4,2.75,401.3,0.53,12,4.76,0.2,12
W.P. Labuan,Labuan,2017,coconut,Coconut,630.1,0.63,152.5,0.12,13,2.57,0.25,12
Pulau Pinang,Penang,2017,coconut,Coconut,248.4,0.25,48.5,0.05,14,4.41,0.32,12
W.P. Kuala Lumpur,Kuala Lumpur,2017,coconut,Coconut,0.0,0.0,0.0,0.0,15,4.53,0.41,12
Johor,Johor,2017,fruits,Fruits,603693.0,603.69,59264.8,40.45,1,4.61,0.37,12
Pahang,Pahang,2017,fruits,Fruits,195934.8,195.93,33209.9,13.13,2,2.53,0.26,12
Sarawak,Sarawak,2017,fruits,Fruits,150688.5,150.69,35248.7,10.1,3,2.52,0.25,12
Sabah,Sabah,2017,fruits,Fruits,108917.5,108.92,17592.5,7.3,4,3.97,0.29,12
Perak,Perak,2017,fruits,Fruits,106278.7,106.28,10914.0,7.12,5,3.25,0.29,12
Kelantan,Kelantan,2017,fruits,Fruits,88107.3,88.11,17263.5,5.9,6,3.4,0.3,12
Kedah,Kedah,2017,fruits,Fruits,49420.8,49.42,10687.0,3.31,7,4.17,0.31,12
Terengganu,Terengganu,2017,fruits,Fruits,48781.4,48.78,6151.2,3.27,8,2.7,0.29,12
Negeri Sembilan,Negeri Sembilan,2017,fruits,Fruits,45220.9,45.22,5789.9,3.03,9,3.59,0.28,12
Melaka,Melaka,2017,fruits,Fruits,31383.1,31.38,3587.7,2.1,10,4.8,0.39,12
Perlis,Perlis,2017,fruits,Fruits,27847.9,27.85,4120.8,1.87,11,4.76,0.2,12
Selangor,Selangor,2017,fruits,Fruits,19392.2,19.39,2055.1,1.3,12,4.24,0.33,12
