area,date,year,month,day,basket_price,basket_index,base_date,base_basket_price,available_items,chicken_standard_price,chicken_standard_records,eggs_grade_a_price,eggs_grade_a_records,kembung_fish_price,kembung_fish_records,tomato_price,tomato_records,yellow_onion_price,yellow_onion_records,potato_price,potato_records,water_spinach_price,water_spinach_records,red_chili_kulai_price,red_chili_kulai_records,date_number,max_index,min_index,highlight_point,basket_price_label,basket_index_label
Johor,2026-05-02,2026,May,2,59.6,100.0,2026-05-02,59.6,8,7.99,107,11.69,95,17.0,34,2.49,112,2.99,110,2.5,85,6.99,87,7.95,46,739738,115.88,100.0,Lowest basket index,RM 59.60,100.0
Johor,2026-05-03,2026,May,3,60.45,101.43,2026-05-02,59.6,8,7.99,105,11.7,93,18.24,32,2.49,109,2.99,112,2.3,86,6.99,87,7.75,46,739739,115.88,100.0,Normal day,RM 60.45,101.4
Johor,2026-05-04,2026,May,4,66.2,111.09,2026-05-02,59.6,8,7.99,163,11.7,118,18.74,52,2.99,179,3.9,182,2.99,144,6.99,111,10.9,77,739740,115.88,100.0,Normal day,RM 66.20,111.1
Johor,2026-05-05,2026,May,5,61.69,103.52,2026-05-02,59.6,8,7.99,107,11.6,85,18.0,35,2.49,116,2.99,114,2.79,82,6.99,88,8.84,46,739741,115.88,100.0,Normal day,RM 61.69,103.5
Johor,2026-05-06,2026,May,6,61.74,103.6,2026-05-02,59.6,8,7.99,108,11.7,85,17.99,33,2.49,116,2.99,114,2.74,82,7.0,94,8.84,48,739742,115.88,100.0,Normal day,RM 61.74,103.6
Johor,2026-05-07,2026,May,7,61.5,103.2,2026-05-02,59.6,8,7.99,106,11.7,78,18.0,27,2.49,114,2.99,114,2.84,82,7.0,92,8.49,48,739743,115.88,100.0,Normal day,RM 61.50,103.2
Johor,2026-05-08,2026,May,8,62.34,104.61,2026-05-02,59.6,8,7.99,105,11.7,85,18.49,34,2.49,115,2.99,113,2.69,83,7.0,94,8.99,48,739744,115.88,100.0,Normal day,RM 62.34,104.6
Johor,2026-05-09,2026,May,9,62.65,105.13,2026-05-02,59.6,8,7.99,108,11.7,97,18.99,31,2.49,115,2.99,112,2.5,87,7.0,96,8.99,50,739745,115.88,100.0,Normal day,RM 62.65,105.1
Johor,2026-05-10,2026,May,10,61.65,103.44,2026-05-02,59.6,8,7.99,106,11.7,96,17.99,26,2.49,112,2.99,110,2.49,82,7.0,86,8.99,47,739746,115.88,100.0,Normal day,RM 61.65,103.4
Johor,2026-05-11,2026,May,11,67.1,112.59,2026-05-02,59.6,8,8.0,161,11.9,122,18.99,47,3.29,172,3.69,181,2.99,144,7.25,132,10.99,78,739747,115.88,100.0,Normal day,RM 67.10,112.6
Johor,2026-05-12,2026,May,12,62.24,104.44,2026-05-02,59.6,8,7.99,109,11.7,84,17.99,34,2.99,114,2.99,113,2.69,83,6.99,94,8.9,51,739748,115.88,100.0,Normal day,RM 62.24,104.4
Johor,2026-05-13,2026,May,13,62.73,105.27,2026-05-02,59.6,8,7.99,109,11.7,87,17.99,31,3.59,113,2.99,113,2.5,84,6.99,98,8.99,53,739749,115.88,100.0,Normal day,RM 62.73,105.3
Johor,2026-05-14,2026,May,14,64.44,108.13,2026-05-02,59.6,8,7.99,108,11.7,91,18.99,34,4.49,112,2.99,114,2.3,81,6.99,93,8.99,51,739750,115.88,100.0,Normal day,RM 64.44,108.1
Johor,2026-05-15,2026,May,15,66.33,111.29,2026-05-02,59.6,8,7.99,106,11.89,95,19.99,30,4.99,110,2.99,112,2.49,83,6.99,92,8.99,55,739751,115.88,100.0,Normal day,RM 66.33,111.3
Johor,2026-05-16,2026,May,16,64.74,108.63,2026-05-02,59.6,8,7.99,107,11.89,94,18.99,30,5.7,110,2.99,113,2.3,86,6.89,97,7.99,54,739752,115.88,100.0,Normal day,RM 64.74,108.6
Johor,2026-05-17,2026,May,17,64.89,108.88,2026-05-02,59.6,8,7.99,105,11.95,98,18.74,22,5.99,108,2.99,112,2.3,84,6.94,96,7.99,52,739753,115.88,100.0,Normal day,RM 64.89,108.9
Johor,2026-05-18,2026,May,18,69.06,115.88,2026-05-02,59.6,8,8.3,161,11.99,126,18.9,53,5.99,175,3.9,184,2.99,144,7.0,134,9.99,84,739754,115.88,100.0,Highest basket index,RM 69.06,115.9
Johor,2026-05-19,2026,May,19,66.97,112.38,2026-05-02,59.6,8,8.29,107,11.99,96,18.99,33,5.99,111,2.99,114,2.74,82,6.99,95,8.99,53,739755,115.88,100.0,Normal day,RM 66.97,112.4
Johor,2026-05-20,2026,May,20,66.37,111.37,2026-05-02,59.6,8,8.29,109,11.99,97,18.99,35,5.74,112,2.99,113,2.79,83,6.99,98,8.59,52,739756,115.88,100.0,Normal day,RM 66.37,111.4
Kedah,2026-05-02,2026,May,2,63.27,100.0,2026-05-02,63.27,8,8.45,58,11.99,25,16.0,19,3.0,62,3.9,58,3.0,40,4.95,48,12.0,28,739738,106.17,97.36,Normal day,RM 63.27,100.0
Kedah,2026-05-04,2026,May,4,62.82,99.27,2026-05-02,63.27,8,8.44,74,11.5,37,16.0,28,2.99,83,3.9,99,3.0,68,4.99,56,12.0,38,739740,106.17,97.36,Normal day,RM 62.82,99.3
Kedah,2026-05-05,2026,May,5,62.76,99.19,2026-05-02,63.27,8,8.39,59,11.95,24,16.0,21,2.59,61,3.9,57,2.95,38,4.99,45,12.0,25,739741,106.17,97.36,Normal day,RM 62.76,99.2
Kedah,2026-05-06,2026,May,6,63.01,99.59,2026-05-02,63.27,8,8.39,61,11.9,23,16.0,15,2.59,61,3.9,57,2.9,41,4.88,50,12.45,28,739742,106.17,97.36,Normal day,RM 63.01,99.6
Kedah,2026-05-07,2026,May,7,61.61,97.36,2026-05-02,63.27,8,8.45,62,11.99,26,15.0,20,2.5,63,3.9,61,2.99,41,4.78,51,12.0,30,739743,106.17,97.36,Lowest basket index,RM 61.61,97.4
Kedah,2026-05-08,2026,May,8,61.67,97.46,2026-05-02,63.27,8,8.69,61,11.95,26,15.0,23,2.5,62,3.7,62,3.0,42,4.84,48,12.0,27,739744,106.17,97.36,Normal day,RM 61.67,97.5
Kedah,2026-05-09,2026,May,9,61.96,97.92,2026-05-02,63.27,8,8.69,61,11.7,27,15.49,23,2.59,61,3.9,61,3.0,41,4.59,47,12.0,28,739745,106.17,97.36,Normal day,RM 61.96,97.9
Kedah,2026-05-10,2026,May,10,62.83,99.29,2026-05-02,63.27,8,8.69,61,11.8,26,16.0,24,2.54,62,3.9,61,3.0,40,4.89,47,12.0,29,739746,106.17,97.36,Normal day,RM 62.83,99.3
