date,item_code,item_display,display_unit,median_price,price_record_count,year,month_number,month,day_of_month,date_label,item_period_median_price,price_change_from_item_median,price_position,item_order,median_price_label,item,unit,item_group,item_category,price_highlight
2026-05-02,1,"Chicken, standard",1 kilogram,8.2,816,2026,5,May,2,02 May,8.3,-1.2048192771084416,Middle range,1,RM8.20,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,Normal daily median
2026-05-03,1,"Chicken, standard",1 kilogram,8.19,749,2026,5,May,3,03 May,8.3,-1.3253012048192971,Middle range,1,RM8.19,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,Normal daily median
2026-05-04,1,"Chicken, standard",1 kilogram,8.39,1073,2026,5,May,4,04 May,8.3,1.084337349397586,Middle range,1,RM8.39,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,Normal daily median
2026-05-05,1,"Chicken, standard",1 kilogram,8.19,817,2026,5,May,5,05 May,8.3,-1.3253012048192971,Middle range,1,RM8.19,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,Normal daily median
2026-05-06,1,"Chicken, standard",1 kilogram,8.19,817,2026,5,May,6,06 May,8.3,-1.3253012048192971,Middle range,1,RM8.19,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,Normal daily median
2026-05-07,1,"Chicken, standard",1 kilogram,8.1,819,2026,5,May,7,07 May,8.3,-2.409638554216869,Lowest daily median for this item,1,RM8.10,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,Lowest daily median
2026-05-08,1,"Chicken, standard",1 kilogram,8.29,819,2026,5,May,8,08 May,8.3,-0.1204819277108555,Middle range,1,RM8.29,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,Normal daily median
2026-05-09,1,"Chicken, standard",1 kilogram,8.29,823,2026,5,May,9,09 May,8.3,-0.1204819277108555,Middle range,1,RM8.29,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,Normal daily median
2026-05-10,1,"Chicken, standard",1 kilogram,8.3,818,2026,5,May,10,10 May,8.3,0.0,Middle range,1,RM8.30,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,Normal daily median
2026-05-11,1,"Chicken, standard",1 kilogram,8.49,1084,2026,5,May,11,11 May,8.3,2.289156626506013,Middle range,1,RM8.49,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,Normal daily median
2026-05-12,1,"Chicken, standard",1 kilogram,8.3,823,2026,5,May,12,12 May,8.3,0.0,Middle range,1,RM8.30,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,Normal daily median
2026-05-13,1,"Chicken, standard",1 kilogram,8.3,823,2026,5,May,13,13 May,8.3,0.0,Middle range,1,RM8.30,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,Normal daily median
2026-05-14,1,"Chicken, standard",1 kilogram,8.39,826,2026,5,May,14,14 May,8.3,1.084337349397586,Middle range,1,RM8.39,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,Normal daily median
2026-05-15,1,"Chicken, standard",1 kilogram,8.39,818,2026,5,May,15,15 May,8.3,1.084337349397586,Middle range,1,RM8.39,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,Normal daily median
2026-05-16,1,"Chicken, standard",1 kilogram,8.4,823,2026,5,May,16,16 May,8.3,1.2048192771084274,Middle range,1,RM8.40,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,Normal daily median
2026-05-17,1,"Chicken, standard",1 kilogram,8.39,801,2026,5,May,17,17 May,8.3,1.084337349397586,Middle range,1,RM8.39,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,Normal daily median
2026-05-18,1,"Chicken, standard",1 kilogram,8.5,1063,2026,5,May,18,18 May,8.3,2.409638554216855,Middle range,1,RM8.50,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,Normal daily median
2026-05-19,1,"Chicken, standard",1 kilogram,8.5,831,2026,5,May,19,19 May,8.3,2.409638554216855,Middle range,1,RM8.50,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,Normal daily median
2026-05-20,1,"Chicken, standard",1 kilogram,8.59,832,2026,5,May,20,20 May,8.3,3.493975903614441,Highest daily median for this item,1,RM8.59,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,Highest daily median
2026-05-02,1109,"Eggs, grade A",30 pieces,11.7,620,2026,5,May,2,02 May,11.99,-2.418682235196002,Lowest daily median for this item,2,RM11.70,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,Lowest daily median
2026-05-03,1109,"Eggs, grade A",30 pieces,11.75,594,2026,5,May,3,03 May,11.99,-2.001668056713939,Middle range,2,RM11.75,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,Normal daily median
2026-05-04,1109,"Eggs, grade A",30 pieces,11.99,852,2026,5,May,4,04 May,11.99,0.0,Middle range,2,RM11.99,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,Normal daily median
2026-05-05,1109,"Eggs, grade A",30 pieces,11.9,586,2026,5,May,5,05 May,11.99,-0.7506255212677218,Middle range,2,RM11.90,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,Normal daily median
2026-05-06,1109,"Eggs, grade A",30 pieces,11.99,592,2026,5,May,6,06 May,11.99,0.0,Middle range,2,RM11.99,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,Normal daily median
2026-05-07,1109,"Eggs, grade A",30 pieces,11.99,601,2026,5,May,7,07 May,11.99,0.0,Middle range,2,RM11.99,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,Normal daily median
2026-05-08,1109,"Eggs, grade A",30 pieces,11.99,632,2026,5,May,8,08 May,11.99,0.0,Middle range,2,RM11.99,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,Normal daily median
2026-05-09,1109,"Eggs, grade A",30 pieces,11.99,646,2026,5,May,9,09 May,11.99,0.0,Middle range,2,RM11.99,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,Normal daily median
2026-05-10,1109,"Eggs, grade A",30 pieces,11.99,637,2026,5,May,10,10 May,11.99,0.0,Middle range,2,RM11.99,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,Normal daily median
2026-05-11,1109,"Eggs, grade A",30 pieces,11.99,888,2026,5,May,11,11 May,11.99,0.0,Middle range,2,RM11.99,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,Normal daily median
2026-05-12,1109,"Eggs, grade A",30 pieces,11.99,598,2026,5,May,12,12 May,11.99,0.0,Middle range,2,RM11.99,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,Normal daily median
2026-05-13,1109,"Eggs, grade A",30 pieces,11.99,607,2026,5,May,13,13 May,11.99,0.0,Middle range,2,RM11.99,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,Normal daily median
2026-05-14,1109,"Eggs, grade A",30 pieces,11.99,630,2026,5,May,14,14 May,11.99,0.0,Middle range,2,RM11.99,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,Normal daily median
2026-05-15,1109,"Eggs, grade A",30 pieces,11.99,653,2026,5,May,15,15 May,11.99,0.0,Middle range,2,RM11.99,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,Normal daily median
2026-05-16,1109,"Eggs, grade A",30 pieces,11.99,655,2026,5,May,16,16 May,11.99,0.0,Middle range,2,RM11.99,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,Normal daily median
2026-05-17,1109,"Eggs, grade A",30 pieces,12.0,645,2026,5,May,17,17 May,11.99,0.083402835696404,Middle range,2,RM12.00,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,Normal daily median
2026-05-18,1109,"Eggs, grade A",30 pieces,12.3,902,2026,5,May,18,18 May,11.99,2.5854879065888383,Highest daily median for this item,2,RM12.30,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,Highest daily median
2026-05-19,1109,"Eggs, grade A",30 pieces,12.1,606,2026,5,May,19,19 May,11.99,0.917431192660544,Middle range,2,RM12.10,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,Normal daily median
2026-05-20,1109,"Eggs, grade A",30 pieces,12.2,622,2026,5,May,20,20 May,11.99,1.751459549624684,Middle range,2,RM12.20,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,Normal daily median
2026-05-02,904,"Rice, imported five percent broken",10 kilograms,33.2,1,2026,5,May,2,02 May,35.345,-6.06875088414202,Lowest daily median for this item,3,RM33.20,BERAS SUPER CAP RAMBUTAN 5% (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS,Lowest daily median
2026-05-03,904,"Rice, imported five percent broken",10 kilograms,33.2,1,2026,5,May,3,03 May,35.345,-6.06875088414202,Lowest daily median for this item,3,RM33.20,BERAS SUPER CAP RAMBUTAN 5% (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS,Lowest daily median
2026-05-04,904,"Rice, imported five percent broken",10 kilograms,35.99,403,2026,5,May,4,04 May,35.345,1.8248691469797933,Middle range,3,RM35.99,BERAS SUPER CAP RAMBUTAN 5% (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS,Normal daily median
2026-05-06,904,"Rice, imported five percent broken",10 kilograms,35.49,1,2026,5,May,6,06 May,35.345,0.4102419012590275,Middle range,3,RM35.49,BERAS SUPER CAP RAMBUTAN 5% (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS,Normal daily median
2026-05-11,904,"Rice, imported five percent broken",10 kilograms,36.59,409,2026,5,May,11,11 May,35.345,3.5224218418446758,Middle range,3,RM36.59,BERAS SUPER CAP RAMBUTAN 5% (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS,Normal daily median
2026-05-12,904,"Rice, imported five percent broken",10 kilograms,37.59,1,2026,5,May,12,12 May,35.345,6.351676333286193,Highest daily median for this item,3,RM37.59,BERAS SUPER CAP RAMBUTAN 5% (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS,Highest daily median
2026-05-14,904,"Rice, imported five percent broken",10 kilograms,35.2,12,2026,5,May,14,14 May,35.345,-0.4102419012590133,Middle range,3,RM35.20,BERAS SUPER CAP RAMBUTAN 5% (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS,Normal daily median
2026-05-16,904,"Rice, imported five percent broken",10 kilograms,34.2,1,2026,5,May,16,16 May,35.345,-3.2394963927005165,Middle range,3,RM34.20,BERAS SUPER CAP RAMBUTAN 5% (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS,Normal daily median
2026-05-17,904,"Rice, imported five percent broken",10 kilograms,34.2,1,2026,5,May,17,17 May,35.345,-3.2394963927005165,Middle range,3,RM34.20,BERAS SUPER CAP RAMBUTAN 5% (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS,Normal daily median
2026-05-18,904,"Rice, imported five percent broken",10 kilograms,36.7,388,2026,5,May,18,18 May,35.345,3.833639835903256,Middle range,3,RM36.70,BERAS SUPER CAP RAMBUTAN 5% (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS,Normal daily median
2026-05-03,918,"Cooking oil, packet assorted brands",1 kilogram,2.5,4,2026,5,May,3,03 May,2.5,0.0,Highest daily median for this item,4,RM2.50,MINYAK MASAK PAKET (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,Highest daily median
2026-05-04,918,"Cooking oil, packet assorted brands",1 kilogram,2.5,764,2026,5,May,4,04 May,2.5,0.0,Highest daily median for this item,4,RM2.50,MINYAK MASAK PAKET (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,Highest daily median
2026-05-10,918,"Cooking oil, packet assorted brands",1 kilogram,2.5,3,2026,5,May,10,10 May,2.5,0.0,Highest daily median for this item,4,RM2.50,MINYAK MASAK PAKET (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,Highest daily median
2026-05-11,918,"Cooking oil, packet assorted brands",1 kilogram,2.5,772,2026,5,May,11,11 May,2.5,0.0,Highest daily median for this item,4,RM2.50,MINYAK MASAK PAKET (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,Highest daily median
2026-05-14,918,"Cooking oil, packet assorted brands",1 kilogram,2.5,22,2026,5,May,14,14 May,2.5,0.0,Highest daily median for this item,4,RM2.50,MINYAK MASAK PAKET (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,Highest daily median
2026-05-17,918,"Cooking oil, packet assorted brands",1 kilogram,2.5,3,2026,5,May,17,17 May,2.5,0.0,Highest daily median for this item,4,RM2.50,MINYAK MASAK PAKET (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,Highest daily median
2026-05-18,918,"Cooking oil, packet assorted brands",1 kilogram,2.5,772,2026,5,May,18,18 May,2.5,0.0,Highest daily median for this item,4,RM2.50,MINYAK MASAK PAKET (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,Highest daily median
