state,state_display,year,indicator,indicator_order,indicator_value,indicator_value_label,exposure_score,overall_exposure_score,indicator_meaning,unit,food_crop_planted_area_hectares,food_crop_production_tonnes,fish_landings_tonnes,population_thousand,pressure_band
Johor,Johor,2018,Food inflation,1,1.7,1.7%,100.0,82.81117012027858,Higher values mean more price pressure,%,78469.3,885289.3,69667,3749.4,Higher exposure
Johor,Johor,2018,"Crop production per 1,000 residents",2,236.1149250546754,236.1,78.75031755121324,82.81117012027858,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",78469.3,885289.3,69667,3749.4,Higher exposure
Johor,Johor,2018,"Fish landings per 1,000 residents",3,18.580839601002825,18.6,95.24216719589857,82.81117012027858,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",78469.3,885289.3,69667,3749.4,Higher exposure
Johor,Johor,2018,Population,4,3749.4,"3,749.4 thousand",57.25219573400251,82.81117012027858,Higher values mean stronger demand pressure,thousand people,78469.3,885289.3,69667,3749.4,Moderate exposure
Johor,Johor,2019,Food inflation,1,1.9166666666666667,1.9%,64.59854014598541,73.26856355307069,Higher values mean more price pressure,%,71333.1,870078.9,65127,3761.2,Moderate exposure
Johor,Johor,2019,"Crop production per 1,000 residents",2,231.3301339997873,231.3,75.06510338724411,73.26856355307069,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",71333.1,870078.9,65127,3761.2,Higher exposure
Johor,Johor,2019,"Fish landings per 1,000 residents",3,17.315484419866,17.3,96.25415191648852,73.26856355307069,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",71333.1,870078.9,65127,3761.2,Higher exposure
Johor,Johor,2019,Population,4,3761.2,"3,761.2 thousand",57.15645876256477,73.26856355307069,Higher values mean stronger demand pressure,thousand people,71333.1,870078.9,65127,3761.2,Moderate exposure
Johor,Johor,2020,Food inflation,1,1.5250000000000001,1.5%,72.01834862385323,73.38102763574032,Higher values mean more price pressure,%,75447.3,898282.7999999999,70177,4009.7,Higher exposure
Johor,Johor,2020,"Crop production per 1,000 residents",2,224.02743347382597,224.0,71.76578974120878,73.38102763574032,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",75447.3,898282.7999999999,70177,4009.7,Higher exposure
