date,year,month_number,month,year_month,date_number,Low-income all items,Low-income food and beverages,food_pressure_gap,food_pressure_gap_label,pressure_status,latest_available_date,latest_date_number
2010-01-01,2010,1,January,2010-01,20100101,99.3,99.1,-0.20000000000000284,-0.2 index points,Food and beverages not above all items,April 2026,20260401
2010-02-01,2010,2,February,2010-02,20100201,99.3,99.0,-0.29999999999999716,-0.3 index points,Food and beverages not above all items,April 2026,20260401
2010-03-01,2010,3,March,2010-03,20100301,99.3,99.0,-0.29999999999999716,-0.3 index points,Food and beverages not above all items,April 2026,20260401
2010-04-01,2010,4,April,2010-04,20100401,99.3,99.0,-0.29999999999999716,-0.3 index points,Food and beverages not above all items,April 2026,20260401
2010-05-01,2010,5,May,2010-05,20100501,99.5,99.4,-0.09999999999999432,-0.1 index points,Food and beverages not above all items,April 2026,20260401
2010-06-01,2010,6,June,2010-06,20100601,99.7,99.9,0.20000000000000284,0.2 index points,Food and beverages above all items,April 2026,20260401
2010-07-01,2010,7,July,2010-07,20100701,100.0,100.2,0.20000000000000284,0.2 index points,Food and beverages above all items,April 2026,20260401
2010-08-01,2010,8,August,2010-08,20100801,100.3,100.5,0.20000000000000284,0.2 index points,Food and beverages above all items,April 2026,20260401
2010-09-01,2010,9,September,2010-09,20100901,100.4,100.5,0.09999999999999432,0.1 index points,Food and beverages above all items,April 2026,20260401
2010-10-01,2010,10,October,2010-10,20101001,100.6,100.6,0.0,0.0 index points,Food and beverages not above all items,April 2026,20260401
2010-11-01,2010,11,November,2010-11,20101101,100.9,101.2,0.29999999999999716,0.3 index points,Food and beverages above all items,April 2026,20260401
2010-12-01,2010,12,December,2010-12,20101201,101.3,101.5,0.20000000000000284,0.2 index points,Food and beverages above all items,April 2026,20260401
2011-01-01,2011,1,January,2011-01,20110101,102.0,102.9,0.9000000000000057,0.9 index points,Food and beverages above all items,April 2026,20260401
2011-02-01,2011,2,February,2011-02,20110201,102.5,103.9,1.4000000000000057,1.4 index points,Food and beverages above all items,April 2026,20260401
2011-03-01,2011,3,March,2011-03,20110301,102.6,104.0,1.4000000000000057,1.4 index points,Food and beverages above all items,April 2026,20260401
2011-04-01,2011,4,April,2011-04,20110401,102.8,104.2,1.4000000000000057,1.4 index points,Food and beverages above all items,April 2026,20260401
2011-05-01,2011,5,May,2011-05,20110501,103.0,104.2,1.2000000000000028,1.2 index points,Food and beverages above all items,April 2026,20260401
2011-06-01,2011,6,June,2011-06,20110601,103.4,104.9,1.5,1.5 index points,Food and beverages above all items,April 2026,20260401
2011-07-01,2011,7,July,2011-07,20110701,103.6,105.3,1.7000000000000028,1.7 index points,Food and beverages above all items,April 2026,20260401
2011-08-01,2011,8,August,2011-08,20110801,103.7,105.2,1.5,1.5 index points,Food and beverages above all items,April 2026,20260401
2011-09-01,2011,9,September,2011-09,20110901,103.9,105.7,1.7999999999999972,1.8 index points,Food and beverages above all items,April 2026,20260401
2011-10-01,2011,10,October,2011-10,20111001,104.2,106.5,2.299999999999997,2.3 index points,Food and beverages above all items,April 2026,20260401
2011-11-01,2011,11,November,2011-11,20111101,104.3,106.3,2.0,2.0 index points,Food and beverages above all items,April 2026,20260401
2011-12-01,2011,12,December,2011-12,20111201,104.4,106.8,2.3999999999999915,2.4 index points,Food and beverages above all items,April 2026,20260401
2012-01-01,2012,1,January,2012-01,20120101,104.8,107.8,3.0,3.0 index points,Food and beverages above all items,April 2026,20260401
2012-02-01,2012,2,February,2012-02,20120201,104.6,106.8,2.200000000000003,2.2 index points,Food and beverages above all items,April 2026,20260401
2012-03-01,2012,3,March,2012-03,20120301,104.6,106.7,2.1000000000000085,2.1 index points,Food and beverages above all items,April 2026,20260401
2012-04-01,2012,4,April,2012-04,20120401,104.5,106.3,1.7999999999999972,1.8 index points,Food and beverages above all items,April 2026,20260401
