state,year,food_inflation_yoy_avg,months_available,state_display,rank,rank_label,food_inflation_label,year_label,data_note
Kelantan,2011,6.008333333333333,12,Kelantan,1,Rank 1,6.0%,2011,Full year
Negeri Sembilan,2011,5.758333333333333,12,Negeri Sembilan,2,Rank 2,5.8%,2011,Full year
Terengganu,2011,5.708333333333333,12,Terengganu,3,Rank 3,5.7%,2011,Full year
Pulau Pinang,2011,5.308333333333333,12,Penang,4,Rank 4,5.3%,2011,Full year
Johor,2011,5.3,12,Johor,5,Rank 5,5.3%,2011,Full year
Selangor,2011,5.191666666666666,12,Selangor,6,Rank 6,5.2%,2011,Full year
Melaka,2011,5.016666666666667,12,Melaka,7,Rank 7,5.0%,2011,Full year
Pahang,2011,4.808333333333334,12,Pahang,8,Rank 8,4.8%,2011,Full year
Sabah,2011,4.766666666666667,12,Sabah,9,Rank 9,4.8%,2011,Full year
Perak,2011,4.508333333333334,12,Perak,10,Rank 10,4.5%,2011,Full year
Perlis,2011,4.058333333333334,12,Perlis,11,Rank 11,4.1%,2011,Full year
Kedah,2011,3.9333333333333336,12,Kedah,12,Rank 12,3.9%,2011,Full year
W.P. Kuala Lumpur,2011,3.8249999999999997,12,Kuala Lumpur,13,Rank 13,3.8%,2011,Full year
W.P. Putrajaya,2011,3.725,12,Putrajaya,14,Rank 14,3.7%,2011,Full year
Sarawak,2011,3.3083333333333336,12,Sarawak,15,Rank 15,3.3%,2011,Full year
W.P. Labuan,2011,2.85,12,Labuan,16,Rank 16,2.9%,2011,Full year
W.P. Labuan,2012,5.233333333333333,12,Labuan,1,Rank 1,5.2%,2012,Full year
Sarawak,2012,3.35,12,Sarawak,2,Rank 2,3.4%,2012,Full year
Pahang,2012,3.1833333333333336,12,Pahang,3,Rank 3,3.2%,2012,Full year
Johor,2012,3.1666666666666665,12,Johor,4,Rank 4,3.2%,2012,Full year
Melaka,2012,3.1,12,Melaka,5,Rank 5,3.1%,2012,Full year
Pulau Pinang,2012,3.0833333333333335,12,Penang,6,Rank 6,3.1%,2012,Full year
Kedah,2012,2.9,12,Kedah,7,Rank 7,2.9%,2012,Full year
Selangor,2012,2.7416666666666667,12,Selangor,8,Rank 8,2.7%,2012,Full year
Sabah,2012,2.6083333333333334,12,Sabah,9,Rank 9,2.6%,2012,Full year
Kelantan,2012,2.4833333333333334,12,Kelantan,10,Rank 10,2.5%,2012,Full year
W.P. Putrajaya,2012,2.2916666666666665,12,Putrajaya,11,Rank 11,2.3%,2012,Full year
W.P. Kuala Lumpur,2012,2.0833333333333335,12,Kuala Lumpur,12,Rank 12,2.1%,2012,Full year
Negeri Sembilan,2012,1.758333333333333,12,Negeri Sembilan,13,Rank 13,1.8%,2012,Full year
Perak,2012,1.7,12,Perak,14,Rank 14,1.7%,2012,Full year
Terengganu,2012,1.4666666666666668,12,Terengganu,15,Rank 15,1.5%,2012,Full year
Perlis,2012,0.525,12,Perlis,16,Rank 16,0.5%,2012,Full year
W.P. Putrajaya,2013,5.0249999999999995,12,Putrajaya,1,Rank 1,5.0%,2013,Full year
Pahang,2013,4.45,12,Pahang,2,Rank 2,4.5%,2013,Full year
Melaka,2013,4.1000000000000005,12,Melaka,3,Rank 3,4.1%,2013,Full year
Kedah,2013,4.0,12,Kedah,4,Rank 4,4.0%,2013,Full year
Selangor,2013,3.9916666666666667,12,Selangor,5,Rank 5,4.0%,2013,Full year
Johor,2013,3.966666666666667,12,Johor,6,Rank 6,4.0%,2013,Full year
Pulau Pinang,2013,3.5833333333333335,12,Penang,7,Rank 7,3.6%,2013,Full year
Kelantan,2013,3.4916666666666667,12,Kelantan,8,Rank 8,3.5%,2013,Full year
W.P. Labuan,2013,3.233333333333333,12,Labuan,9,Rank 9,3.2%,2013,Full year
Negeri Sembilan,2013,3.1666666666666665,12,Negeri Sembilan,10,Rank 10,3.2%,2013,Full year
Sabah,2013,3.0,12,Sabah,11,Rank 11,3.0%,2013,Full year
